Energy_Consumption_Reduction,Waste_Management,Utilization_Of_Alternative_Materials,Soil_Preservation(m^3),Renewable_Energy_Utilization(MW),Water_Demand_Reduction(Building),Waste_Demand_Reduction(Landscape),Waste_Water_Treatment(KLD),Social_Benefits,VOC/Lead Free Paints,EPI(Energy Performance Index),Daylight_Factor,EPR(Energy performane Reduction),Air_Pollution_Control,Building Performance(kWh /sqm/year),Water_Consumption_in_building(KL/annum),Renewable_Energy_REC(kWH/annum),Green_Rating
53,1,43.86,8,0.0175,0.688,52.955,13,1,1,27.53,54,32.74,0,137.02,13,20,5
53,1,43.86,8,0.0175,0.688,52.955,13,1,1,27.53,54,46.27,0,266.55,2,13,4
49,1,30,4,0.36,30.95,53.8,18,1,1,19.9,85,39.07,0,63.49,24,16,4
84,1,30,8,0.04,50.6,49.3,13,1,1,34.9,52.9,26.38,1,178.7,67,50,2
120,1,43.86,8,0.005,53.91,63.87,13,1,1,82.24,83.42,82.24,1,101.26,0,17,5
64,1,35,8,0.046,59.36,78.67,13,1,1,52.41,78,52.41,1,101.26,0,41,3
39,1,120,31,0.55,82.65,52.25,2,1,1,40.4,57,40.4,1,101.26,0,41,4
49,1,94.21,14,0.0848,68.16,52.25,6,1,1,43.6,66.8,43.6,1,101.26,0,41,3
84,1,43.86,39,0.055,50.19,76.79,4,1,1,55.5,92.86,41.35,1,101.26,0,41,5
122,1,92.4,8,0.0078,60.6,52.25,13,1,1,86.18,83.2,43.16,1,101.26,0,41,4
22,3,43.86,26,0.0078,52.44,57.25,9,1,1,55.5,66.455,30.9,1,83.1,0,41,3
77,1,42,20,1,36,66.75,13,1,1,55.5,90.74,56.95,1,101.26,0,41,4
70,1,148,8,0.055,52.44,73.92,9,1,1,55.5,66.03,55.44,1,101.26,0,41,3
109,1,43.86,34,0.1512,52.58,64.3,17,1,1,35.44,75.58,74.69,1,35.44,0,41,5
71,1,43.86,40,0.004,41.35,31.95,13,1,1,44.18,76,55.82,1,44.18,0,41,4
95,1,61.1,0,0.03,61.93,58.96,29,1,1,44.77,84.7,68,1,44.77,0,41,3
107,1,80.54,8,0.0075,63.5,50.3,13,1,1,103.9,65.14,73.3,1,103.9,0,41,3
123,1,25,12,0.01,70,52.25,23,1,1,55.98,92,87.56,1,55.98,0,41,3
32,1,122,2,0.001,43.34,62,4,1,1,63.5,98,36.5,1,63.5,0,41,3
91,1,43.86,8,0.055,65.73,71.47,14,1,1,55.5,79.7,66.04,1,101.26,0,41,3
50,1,64.8,8,5,63.08,57.21,13,1,1,156.3,80,44,1,101.26,0,41,4
80,1,32,8,0.202,79,81,13,1,1,43.5,76.6,43.16,1,101.26,0,41,5
55,1,43.86,8,0.01,58.2,52,13,1,1,87.59,62.98,43.16,1,101.26,0,41,5
60,1,43.86,8,0.06,72.67,65.51,13,1,1,147.83,75.72,43.16,1,101.26,0,41,5
106,1,33.4,8,0.015,54.58,31.2,13,1,1,36.64,63.14,43.16,1,101.26,0,41,3
84,1,30,8,0.03,50.6,33.6,13,1,1,15.6,96.27,60.93,1,101.26,0,41,4
121,1,30,8,3,34,75,13,1,1,15.5,85,84.5,1,101.26,0,41,3
84,1,43.86,8,4.2,53.35,44.74,13,1,1,32.7,76,72.75,1,101.26,0,41,4
94,1,28,8,90,73,46,13,1,1,28.4,93.6,64.27,1,101.26,0,41,5
84,1,43.86,8,0.005,31.49,87.56,20,1,1,55.5,98.38,25,1,101.26,0,41,4
84,1,100,8,0.055,55.07,0.07,13,1,1,55.5,99.72,23.45,1,101.26,0,41,4
96,1,595.6,8,0.08,6.55,100,13,1,1,141.27,44.41,68.6,1,141.27,0,41,4
26,1,100,5,0.025,10,6.7,13,1,1,60,67.5,33.4,1,60,0,41,3
42,1,43.86,8,0.055,54.28,82.77,13,1,1,55.5,76.69,42.25,1,101.26,0,41,5
57,1,43.86,8,1.78,59.45,36.4,13,1,1,69.71,77,50.21,1,69.71,0,2,4
27,1,100,4,0.055,39,45.52,13,1,1,55.5,91.96,34.09,1,101.26,0,41,4
47,1,133.38,8,0.08,62.48,36.1,13,1,1,106.39,97.9,43.12,1,106.39,0,62,4
66,1,43.86,17,0.004,19.5,52.25,13,1,1,55.5,66.455,53.37,1,15.39,62,48,4
63,1,43.86,7,0.003,39.68,52.25,13,1,1,55.5,66.455,51.41,1,9.84,1,37,4
118,1,65,1,0.055,61,9,13,1,1,25.43,175,81.23,1,25.43,0,41,3
40,1,72.54,8,0.055,50.48,67.5,13,1,1,82.86,139.22,40.81,1,82.86,0,41,4
87,1,43.86,8,5,41.86,52.25,13,1,1,84.43,77.06,62.47,1,101.26,0,41,4
75,1,43.86,8,0.09,66.7,52.25,11,1,1,56.03,60.15,48.68,1,101.26,0,41,5
82,1,43.86,8,35,50,52.25,13,1,1,55.5,66.455,43.16,1,101.26,0,41,4
28,1,52,8,11.34,54,68,13,1,1,65.7,49,34.3,1,101.26,0,41,3
22,1,30,8,0.055,56.69,60,13,1,1,58.7,31,31,1,101.26,0,41,5
84,1,50,8,0.055,57.9,42.34,13,1,1,28.8,77.62,71.2,1,101.26,0,41,3
84,1,43.86,8,0.055,51.64,42.42,13,1,1,51.22,85,69.66,1,17.73,0,41,3
94,1,67,8,6,41,52.25,13,1,1,48.23,66.455,51.77,1,101.26,0,41,4
111,1,43.86,8,0.36,61.7,59,18,1,1,21.6,66.455,78.4,1,101.26,0,41,4
116,1,43.86,8,0.36,61.4,50,18,1,1,19.9,66.455,80.1,1,101.26,0,41,4
89,1,43.86,8,0.025,65,44.24,13,1,1,50.3,66.455,64,1,101.26,0,41,4
75,1,43.86,8,0.09,66.7,52.25,11,1,1,56.03,60.15,43.16,1,101.26,0,41,5
51,1,43.86,8,0.004,45,52.25,13,1,1,104.3,66.455,43.16,1,101.26,0,41,4
105,1,92,8,40,56.3,56.05,13,1,1,37.44,62,73,1,101.26,0,41,5
85,1,43.86,8,15,51.5,30,13,1,1,73,82.46,62.1,1,101.26,0,9,4
20,1,43.86,38,40,52.44,40.3,26,1,1,55.5,85,30,1,101.26,0,41,4
83,1,43.86,8,35,52.44,52.25,13,1,1,55.5,90,60.59,1,101.26,0,41,5
88,1,43.86,8,4.45,52.44,52.25,12,1,1,55.5,62.89,62.89,1,101.26,0,41,5
84,1,30,8,5,53,52.25,13,1,1,48.28,97,72.75,1,101.26,0,41,3
29,1,43.86,8,0.055,25,52.25,13,1,1,55.5,66.455,35,1,101.26,37,65,3
2,1,43.86,8,0.005,69.33,52.25,13,1,1,55.5,66.455,11,1,101.26,17,57,4
16,1,43.86,8,0.005,5.15,52.25,13,1,1,55.5,66.455,27,1,101.26,0,10,5
124,1,43.86,8,0.002,52.44,52.25,13,1,1,55.5,66.455,93.82,1,101.26,57,25,4
36,1,43.86,8,15,51.34,30,13,1,1,85.88,53.68,38.65,1,101.26,0,41,3
35,1,43.86,8,0.005,30.78,52.25,13,1,1,55.5,66.455,38.5,1,101.26,66,56,4
79,1,43.86,8,150,58,53,13,1,1,35.66,86,58.05,1,101.26,0,41,5
84,1,43.86,8,0.004,40.79,52.25,13,1,1,55.5,66.455,43.16,1,101.26,35,47,3
78,1,43.86,8,5,67,39,13,1,1,188,66.455,43.16,1,101.26,0,41,4
90,1,43.86,8,0.002,43.49,52.25,13,1,1,55.5,66.455,64.2,1,101.26,4,24,4
81,1,43.86,8,0.008,44.27,52.25,13,1,1,55.5,66.455,21.4,1,101.26,36,4,3
53,1,43.86,8,0.055,52.44,52.25,13,1,1,140,66.455,46.31,1,101.26,0,41,2
5,1,43.86,8,0.025,32.2,60.7,13,1,1,55.5,66.455,133.48,1,101.26,59,33,4
69,1,43.86,8,6.5,56.86,42,13,1,1,64.4,85,54,1,64.4,68,41,4
12,1,43.86,8,0.02,38.6,91.6,13,1,1,55.5,66.455,24.6,1,24.6,41,28,4
54,1,43.86,8,1000,81.6,52.25,13,1,1,59.06,66.455,43.16,1,101.26,0,41,4
14,1,43.86,8,35,67,70,22,1,1,104,50,25.7,1,101.26,0,41,4
13,1,43.86,8,0.04,41.61,52.25,13,1,1,55.5,66.455,25.26,1,101.26,44,49,3
103,1,43.86,8,0.055,25.93,55.74,13,1,1,27.53,66.455,72.47,1,15.8,12,41,4
30,1,43.86,8,0.008,33.71,52.25,4,1,1,55.5,66.455,35.22,1,11.1,29,3,4
85,1,43.86,8,140,78,50.17,13,1,1,86.88,82,62.1,1,101.26,0,41,4
113,1,43.86,8,0.001,52.44,52.25,15,1,1,55.5,66.455,97.5,1,97.5,0,1,4
117,1,25,41,16,51,37,13,1,1,20.45,75,43.16,1,101.26,33,41,3
3,1,43.86,8,0.055,37.77,52.25,1,1,1,55.5,66.455,133.19,1,101.26,40,18,3
31,1,43.86,8,6.5,52.44,70,13,1,1,24.7,66.455,43.16,1,101.26,0,41,3
73,1,43.86,8,0.003,52.44,100,4,1,1,55.5,66.455,80.1,1,101.26,69,36,4
46,1,43.86,28,119.37,30.12,52.25,13,1,1,55.5,26.5,42.98,1,101.26,0,41,4
84,1,43.86,8,0.2,60.29,52.25,9,1,1,55.5,66.455,43.16,1,101.26,0,40,4
114,1,43.86,8,0.075,35.6,91.2,13,1,1,55.5,66.455,8.3,1,8.3,0,0,3
25,1,43.86,8,0.055,43.16,58.11,16,1,1,55.5,83.96,32.44,1,101.26,0,41,2
104,1,28,8,0.01,55,52.25,13,1,1,123.3,77.2,72.6,1,101.26,0,41,3
38,1,48,10,0.055,33.72,35.71,13,1,1,59.71,83.28,40.28,1,59.71,0,41,3
52,1,43.86,8,150,38.86,38,13,1,1,55.5,66.455,43.16,1,101.26,0,41,5
100,1,65,27,0.045,50.98,31.49,13,1,1,110.42,94,75.46,1,101.26,0,41,4
1,1,43.86,8,0.002,33.8,52.25,28,1,1,55.5,66.455,43.16,1,101.26,30,27,4
119,1,43.86,37,0.002,84.3,52.25,0,1,1,55.5,66.455,43.16,1,101.26,9,30,4
23,1,43.86,8,60,63.8,52.25,13,1,1,55.5,66.455,43.16,1,101.26,0,41,4
92,1,34.4,8,0.05,59.26,76.77,13,1,1,52.3,66.11,43.16,1,101.26,0,41,5
84,1,43.86,8,0.03,57.95,88.08,13,1,1,55.5,73.24,71.2,1,101.26,0,41,5
58,1,26.3,8,0.02,51.77,52.25,13,1,1,223.89,54.4,50.25,1,101.26,0,41,4
101,1,30,8,0.001,66.53,50,13,1,1,39,43,71,1,39,0,41,3
108,1,43.86,8,50,59.87,46.47,13,1,1,36.91,73.1,73.6,1,101.26,0,41,4
101,1,90,8,0.005,72.19,52.5,13,1,1,47.75,28,71,1,47.75,0,41,4
54,1,43.86,8,2971.6,100,52.25,13,1,1,55.5,66.455,43.16,1,101.26,0,41,5
84,1,43.86,8,0.02,61.55,60.21,13,1,1,55.5,81.2,43.16,1,101.26,0,41,5
10,1,43.86,8,2000,56.63,52.25,13,1,1,55.5,66.455,43.16,1,101.26,0,41,5
18,1,43.86,8,36,66,43.55,13,1,1,164.88,66.455,28.01,1,101.26,3,41,3
84,1,43.86,8,3,70.63,57,13,1,1,55.5,94,43.16,1,101.26,0,41,5
74,1,43.86,8,7,47.41,25,13,1,1,55.5,83,43.16,1,101.26,0,41,4
84,1,74,8,1.75,40,52,13,1,1,55.5,88,43.16,1,101.26,0,41,5
52,1,43.86,8,0.055,53.65,52.25,13,1,1,55.5,70,43.16,1,101.26,0,41,3
85,1,43.86,8,0.055,53.65,52.25,13,1,1,55.5,67,43.16,1,101.26,0,41,3
84,1,43.86,8,0.055,36.21,64.22,13,1,1,55.5,83,43.16,1,101.26,0,41,3
116,1,43.86,4,0.36,61.4,50,19,1,1,19.9,66.455,80.1,1,19.9,0,8,4
36,1,43.86,6,0.015,51.34,30,13,1,1,85.88,53.63,38.65,1,85.88,0,41,3
84,1,43.86,8,0.03,50.6,33.6,13,1,1,15.81,52.37,60.93,1,15.81,0,31,4
48,1,25,8,0.00288,78,52.25,13,1,1,79.5,51,43.2,1,79.5,46,41,3
43,1,43.86,8,0.022,53.1,48.6,13,1,1,89.16,80,42.04,1,89.16,15,39,5
54,1,43.86,8,0.15483,65,50,13,1,1,55.868,66.455,47,1,101.26,0,6,5
45,0,43.86,8,0.1,33.16,33.16,13,1,1,35.2,45,42.73,1,101.26,0,7,4
34,2,43.86,8,0.0014,74,52.25,7,1,1,193,88,20,1,195,0,41,5
24,1,43.86,8,0.055,57,30,13,1,1,305,66.455,32,1,305,0,41,3
63,1,100,19,0.0625,53.65,53,9,1,1,56.03,25,35.13,0,148.72,5,55,4
72,1,100,36,0.03,55.52,35.87,13,1,1,50.3,60.96,41.88,0,249.08,10,53,4
49,1,30,4,0.36,30.95,53.8,18,1,1,19.9,85,17.86,1,153.82,52,34,4
49,1,30,4,0.36,30.95,53.8,18,1,1,19.9,85,37.88,0,101.26,27,43,4
63,1,100,19,0.0625,53.65,53,9,1,1,56.03,25,11.62,1,142.58,54,51,4
84,1,30,8,0.04,50.6,49.3,13,1,1,34.9,52.9,44,1,215.28,6,67,4
84,1,30,8,0.04,50.6,49.3,13,1,1,34.9,52.9,23.91,1,265.35,55,12,4
84,1,30,8,0.04,50.6,49.3,13,1,1,34.9,52.9,35.23,1,54.75,21,59,4
72,1,100,36,0.03,55.52,35.87,13,1,1,50.3,60.96,13.53,1,172.46,34,66,4
11,4,15,16,0.8,32.1,15.5,3,1,0,88.5,20,5.4,0,195.3,19,19,1
15,4,20,4,1.1,25.8,10,20,1,0,91.2,15.5,8.1,0,205.1,23,29,1
6,4,12,22,0.5,28.9,12,27,0,0,95,18.5,4.9,0,215.8,28,11,1
17,4,18,33,1,35,18,5,0,1,87.5,22,6,0,185,22,22,1
8,1,8.5,9,0.7,20,8,20,0,0,98.2,16,3.5,0,220.5,31,5,1
16,4,18.73556627,22,1.036778313,31.61639518,15.05773494,10,0,1,88.86079759,19.60940964,6.772344579,0,192.392441,22,24,1
10,2,12.72848295,7,0.847077668,22.13262618,8.735388339,20,0,0,95.62614081,15.81615292,5.191393179,0,214.8375098,28,13,1
11,2,11.98146775,17,0.809941087,25.49705434,11.66470289,14,0,0,94.27876791,18.19882174,4.416175723,0,207.4903047,27,11,1
8,4,13.60732405,18,0.660732405,30.61447899,13.87521139,14,0,0,91.51746455,19.30366203,5.167887342,0,204.816619,23,15,1
16,4,18.18057954,30,1.009028977,34.16933412,17.27768184,6,0,1,87.83407215,21.41311649,6.189608517,0,186.8148244,22,22,1
10,3,13.92946622,14,0.78353025,30.1071602,14.26476872,5,0,0,90.09756579,19.34120998,5.087074742,0,199.4503771,20,16,1
15,4,19.35843987,13,1.067921994,28.7511766,12.56624052,15,0,0,90.01311376,17.58507042,7.426361864,0,198.6523207,22,26,1
16,4,18.37303702,27,1.018651851,33.2840297,16.50785192,7,0,1,88.19011849,20.78762968,6.391688872,0,188.7490221,22,23,1
16,3,17.61263616,32,0.987767458,34.38837288,17.59224858,5,0,1,87.93629401,21.75534915,5.898062146,0,186.4475175,22,21,1
8,4,13.77267883,18,0.677267883,30.79085742,14.0681253,12,0,0,91.15919587,19.38633941,5.195446472,0,203.6866947,22,15,1
10,1,12.20800984,7,0.828974255,21.8701267,8.644871276,20,0,0,95.94295053,15.83878218,4.983203936,0,215.5344912,28,12,1
16,3,17.84241563,32,0.995023651,34.75118257,17.83412171,5,0,1,87.67748977,21.90047303,5.958530428,0,185.5888679,22,21,1
12,2,13.13511595,20,0.846372083,27.31860413,12.87906942,12,0,0,92.97939572,18.92744165,4.719767354,0,203.1793036,26,13,1
15,4,19.54700845,10,1.077350422,27.88376113,11.8119662,16,0,0,90.36196563,16.97222254,7.624358872,0,200.5474349,22,27,1
7,2,9.741895234,13,0.629034558,23.15796217,9.419308838,22,0,0,97.06455293,16.88706802,3.996758093,0,218.8323121,29,7,1
6,4,12.52309929,20,0.552309929,29.45797257,12.6102825,22,0,0,93.86661821,18.76154964,4.987183215,0,212.2254882,26,12,1
8,1,10.5089047,11,0.730906226,23.73965337,10.31796696,14,0,0,95.20209606,17.23624905,4.087218298,0,212.711631,27,9,1
13,2,14.32601421,23,0.883979396,29.19896981,14.13264654,10,0,1,91.63806821,19.67958792,5.033161634,0,198.7291048,25,15,1
7,1,8.721445039,9,0.687345998,20.5631031,8.253080045,20,0,0,97.99753596,16.15817503,3.588578016,0,220.2026309,30,5,1
10,3,14.10611386,15,0.786247906,30.43599658,14.46859292,5,0,0,89.83395316,19.44991622,5.138710206,0,198.7655278,20,17,1
7,4,13.02319905,19,0.602319905,29.99141232,13.19373223,18,0,0,92.78306872,19.01159953,5.070533176,0,208.8081398,24,13,1
10,4,14.65957944,16,0.765957944,31.73688473,15.10284268,5,0,0,89.23757789,19.82978972,5.343263239,0,197.6262072,20,18,1
10,3,14.51050852,15,0.792469362,31.18879278,14.93520214,4,0,0,89.2304719,19.69877447,5.256917875,0,197.1977208,19,17,1
7,1,8.929312263,10,0.675467871,21.09167975,8.490642586,20,0,0,97.80748593,16.30665162,3.671724905,0,219.923495,30,5,1
7,1,9.402795697,12,0.648411674,22.29568049,9.031766511,21,0,0,97.37458679,16.64485407,3.861118279,0,219.2876743,30,6,1
7,4,13.02004786,19,0.602004786,29.98805105,13.19005584,18,0,0,92.7898963,19.01002393,5.070007977,0,208.8296729,24,13,1
10,3,13.8119443,14,0.78172222,29.88838862,14.1291665,6,0,0,90.27294466,19.2688888,5.05272218,0,199.9060006,21,16,1
16,4,18.88959838,20,1.044479919,30.90784747,14.44160649,11,0,1,89.145757,19.10880528,6.934078296,0,193.9404637,22,25,1
15,4,19.05930116,17,1.052965058,30.12721468,13.76279537,12,0,0,89.45970714,18.55727124,7.112266215,0,195.6459766,22,25,1
13,3,17.21869865,5,1.003259084,24.39725671,9.516295418,20,0,0,92.89296604,15.62092615,6.987479462,0,208.8245253,24,23,1
7,1,8.825859687,10,0.681379446,20.82861463,8.372411071,20,0,0,97.90207114,16.23275692,3.630343875,0,220.062417,30,5,1
16,4,18.20556848,30,1.010278424,34.05438497,17.17772606,6,0,1,87.8803017,21.33190243,6.215846908,0,187.0659633,22,22,1
10,4,14.70125417,16,0.770125417,31.78133778,15.1514632,5,0,0,89.14728263,19.85062709,5.350209029,0,197.3414298,19,18,1
16,4,18.73379709,22,1.036689854,31.62453341,15.06481166,10,0,1,88.85752461,19.61515947,6.77048694,0,192.3746607,22,24,1
16,4,18.67805958,23,1.033902979,31.88092592,15.28776167,10,0,1,88.75441023,19.79630636,6.711962561,0,191.8144988,22,24,1
7,4,13.04762872,19,0.604762872,30.01747064,13.22223351,18,0,0,92.73013777,19.02381436,5.074604787,0,208.6412037,24,13,1
6,3,11.04084488,18,0.554808864,26.46100554,10.90382272,25,0,0,95.87694183,17.8148892,4.51633795,0,217.0880083,28,9,1
15,4,19.79422052,6,1.089711026,26.74658561,10.82311792,18,0,0,90.81930796,16.16878331,7.883931546,0,203.0319162,22,28,1
8,1,9.233938242,9,0.711291358,21.36625427,8.846851818,18,0,0,97.10473832,16.4516543,3.714535794,0,217.6545779,29,6,1
9,1,11.03143122,7,0.788049782,21.27672183,8.440248908,20,0,0,96.65912882,15.88993777,4.512572489,0,217.1100834,29,10,1
6,2,10.74711076,17,0.571593671,25.71408165,10.56812658,24,0,0,96.14549873,17.60507912,4.398844305,0,217.4824513,29,8,1
10,3,14.45309023,15,0.791586004,31.08190642,14.86895026,4,0,0,89.31615766,19.66344014,5.240134067,0,197.4203271,20,17,1
8,1,9.550586642,10,0.716162871,21.95570744,9.212215356,17,0,0,96.63220147,16.64651486,3.807094557,0,216.4269564,29,7,1
6,3,11.64493966,20,0.520289162,27.99713228,11.59421675,26,0,0,95.3246266,18.24638547,4.757975864,0,216.2767953,28,10,1
9,2,12.44178889,13,0.760642906,27.33779162,12.54821795,9,0,0,92.31763812,18.42571624,4.652215213,0,205.2179877,23,13,1
6,4,12.02759115,21,0.502759115,28.92943057,12.03218968,26,0,0,94.94021916,18.51379558,4.904598526,0,215.6114604,27,11,1
10,3,14.34043497,15,0.789852846,30.87219433,14.73896343,4,0,0,89.48427397,19.59411383,5.207204069,0,197.8570829,20,17,1
10,2,12.36972966,7,0.834599292,21.95168974,8.672996462,20,0,0,95.84451238,15.83175088,5.047891862,0,215.3179272,28,13,1
16,4,18.01012317,32,1.000506158,34.95343343,17.95950733,5,0,1,87.51872786,21.9670997,6.010629326,0,185.1017378,22,22,1
15,3,16.47232351,29,0.951757585,32.58787923,16.39191949,7,0,1,89.22064615,21.03515169,5.597979871,0,190.7086858,23,19,1
16,4,18.90253242,19,1.045126621,30.84835086,14.38987031,11,0,1,89.16968498,19.06676963,6.947659042,0,194.0704508,22,25,1
7,4,12.92431441,20,0.592431441,29.88593537,13.07836681,19,0,0,92.99731879,18.9621572,5.054052401,0,209.4838516,25,13,1
10,2,12.50244552,7,0.839215496,22.01862469,8.696077481,20,0,0,95.76372882,15.82598063,5.100978206,0,215.1402034,28,13,1
10,3,13.54224949,14,0.777573069,29.38634136,13.81798018,6,0,0,90.6754123,19.10292276,4.973888312,0,200.9515866,21,15,1
10,1,11.2342974,15,0.786346234,24.31731168,10.87820779,15,0,0,95.12031767,17.72692467,4.219551947,0,210.2823624,28,9,1
13,3,17.27163549,5,1.005100365,24.42395529,9.525501825,20,0,0,92.86074361,15.61862454,7.008654198,0,208.7536359,24,23,1
10,3,12.88490196,13,0.76746003,28.16266365,13.05950226,8,0,0,91.65637707,18.69840121,4.781740573,0,203.5000724,22,14,1
